ID_Number,Name,Class,Section,Periodic_1,Mid_term,Periodic_2,Final_exam
2761,Samson,12,N,206,165,174,234
2763,James,12,M,184,157,165,279
2764,Phineas,12,N,193,190,157,114
2766,Samuel,12,N,237,282,190,104
2767,John,12,M,104,269,282,287
2773,Elijah,12,M,71,157,269,199
2774,Olivia,12,M,206,190,206,228
2775,Emma,12,M,170,282,184,234
2776,Charlotte,12,N,271,269,193,214
2777,Amelia,12,N,123,157,237,176
2781,Benjamin,12,M,202,202,104,173
2782,Lucas,12,M,159,159,71,257
2783,Sophia,12,M,207,207,206,291
2784,Isabella,12,N,252,252,170,87
2789,Royal,12,M,147,147,271,165
2790,Felix,12,N,168,168,123,242
2791,Michelle,12,M,214,214,202,202
2792,Margaret,12,M,176,176,159,159
2793,Jesse,12,M,173,173,207,207
2794,Lynne,12,M,257,257,252,252
2795,Jeanne,12,N,291,291,147,147
2796,Mildred,12,M,87,87,168,168
2797,Laura,12,N,165,165,214,167
2798,Earnestine,12,N,242,242,176,236
2799,Charles,12,M,192,192,173,316
2800,Aaron,12,N,193,193,257,90
2801,Daniel,12,M,164,164,291,174
2802,Robert,12,M,177,177,87,165
2803,Sandra,12,M,104,104,165,157
2804,Debra,12,N,151,151,242,190
2805,Mary,12,N,234,234,192,282
2806,Lois,12,N,279,279,193,269
2807,Andy,12,N,114,114,164,190
2808,Therese,12,N,104,104,177,282
2809,Maya,12,N,287,287,104,269
2810,Steve,12,N,199,199,151,157
2811,Abdul,12,M,228,228,234,193
2812,Guadalupe,12,M,234,234,279,164
2813,Christy,12,N,167,167,114,177
2814,Shirley,12,M,236,236,104,104
2815,Anderson,12,N,316,316,287,151
2816,Angel,12,N,90,90,199,192
2817,Kathleen,12,M,174,174,228,165
2818,Kristi,12,N,165,165,234,157
2819,Ronald,12,M,157,157,167,190
2820,Ramon,12,N,190,190,236,282
2821,Catherine,12,N,282,282,316,269
2822,Edward,12,M,269,269,90,157
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
